id,title,details,year,image,source
1,Homo sapiens appear,,-200000,,https://humanhistorytimeline.com/
2,Bow and arrows,,-62000,,https://humanhistorytimeline.com/
3,Humans walk to America (Bering Strait crossing),,-25000,,https://humanhistorytimeline.com/
4,Earliest evidence of humans farming ,,-20000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
5,Clay pots,,-18000,,https://humanhistorytimeline.com/
6,Humans reach Southern tip of South America,,-10000,,https://humanhistorytimeline.com/
7,Domestication of sheep ,,-9000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
8,Englad cut off from Europe (Ocean sea rises),,-6500,,https://humanhistorytimeline.com/
9,Irrigation,,-6000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
10,First beer brewed,,-6000,,https://humanhistorytimeline.com/
11,Mesopotamia forms,,-5500,,https://humanhistorytimeline.com/
12,Loom,"horizontal, two-beamed",-4400,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
13,1st year in Egyptian calendar,,-4242,,https://humanhistorytimeline.com/
14,Cosmetics,,-4000,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
15,Wheel,"cart, solid wood",-3600,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
16,Indus Valley Civilization forms,,-3300,,https://humanhistorytimeline.com/
17,First writing systems,,-3200,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
18,ox-drawn plow,,-3000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
19,Iron (from ore),,-3000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
20,Rule of Gilgamesh,,-2750,,https://humanhistorytimeline.com/
21,Great Pyramid of Giza,,-2560,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
22,Construction of Stonehenge,,-2400,,https://humanhistorytimeline.com/
23,Beginning of the Shang dynasty ,,-1766,,https://humanhistorytimeline.com/
24,"Iron age begins (Egypt, India, Palestine)",,-1200,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
25,Moses leads his people out of Egypt,,-1200,,https://humanhistorytimeline.com/
26,Iron age beins (Europe),,-800,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
27,The Odyssey published,,-800,,https://humanhistorytimeline.com/
28,First Olympic Games,,-776,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
29,Founding date of Rome,,-753,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
30,Windmill,,-600,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
31,Zero number created,,-600,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
32,Birth of Buddha,,-563,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
33,Atomic theory (Ancient Greece),ancient,-500,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
34,Classical period begins,,-480,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
35,Sparta defeats Athens,,-404,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
36,Hippocratic oath made,,-400,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
37,Aristotle opens the Lyceum in Athens,,-336,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
38,Alexander the great made king,,-336,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
39,Alexander the great dies,,-323,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
40,Crossbow,,-300,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
41,Geometry,,-300,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
42,Building of the Great wall commences,,-221,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
43,Atomic theory (Ancient Rome),,-100,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
44,Roller bearing,wooden for cartwheel,-100,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
45,Julius Caesar assasinated ,,-44,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
46,Birth of Christ,,4,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
47,Crucifixion of Christ,,29,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
48,London established,,43,,https://humanhistorytimeline.com/
49,Vesuvius erupts,,79,,https://humanhistorytimeline.com/
50,Paper,,100,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
51,Roman Pantheon built,,126,,https://humanhistorytimeline.com/
52,Constantinople forms,,330,,https://humanhistorytimeline.com/
53,Chirstianity becomes official religion of Roman Empire,,390,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
54,End of Roman Empire,,476,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
55,Vision of Muhammad,,610,,https://humanhistorytimeline.com/
56,Gunpowder,,700,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
57,Printing,block,700,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
58,Norse settle in Canada,,1000,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
59,First university established ,,1088,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
60,First holy crusade begins,,1095,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
61,Jews are banished from France,,1182,,https://humanhistorytimeline.com/
62,Mongols invade China,,1211,,https://humanhistorytimeline.com/
63,Marco Polo's stories published,,1300,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
64,Peak of Black death,,1347,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
65,The Renaissance begins,,1350,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
66,Joan of Arc born,,1412,,https://humanhistorytimeline.com/
67,China names Beijing as it’s capital city,,1421,,https://humanhistorytimeline.com/
68,Formation of the Incan Empire,,1438,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
69,Gutenberg Bible starts being printed,,1455,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
70,Rifle,muzzle-loaded,1475,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
71,Colombus arrives to Bahamas,,1492,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
72,Vasco da Gama Finds a Sea Route from Europe to India,,1498,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
73,The slave trade (Africa-US) begins,,1502,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
74,Mona Lisa completed,,1504,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
75,Sistine Chapel completed,,1512,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
76,Protestant Reformation begins,,1517,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
77,Magellan Is Killed in the Philippines,,1522,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
78,Disease,chemicals in treatment of,1541,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
79,"Anatomy, human","<i>De fabrica corporis humani,</i> an illustrated systematic study of the human body",1543,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
80,Sun-centered universe model,Sun-centered universe,1543,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
81,Contagion theory,infectious diseases caused by living agent transmitted from person to person,1546,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
82,Wallpaper,,1551,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
83,Star catalog,first modern,1572,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
84,Classification of plants,"first modern, based on comparative study of forms",1583,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
85,Universe is infinite,infinity of universe,1584,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
86,law of falling bodies,,1590,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
87,Thermometer,open-column,1593,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
88,Earth is Magnetic,,1600,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
89,Hamlet completed,,1601,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
90,Japan outlaws Christianity,,1606,,https://humanhistorytimeline.com/
91,English colonists establish first american colony ,,1607,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
92,Telescope,,1608,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
93,Elliptical planetary orbits,establishment of planetary orbits as elliptical,1609,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
94,Logarithm Tables (Napier),logarithms: made multiplying easier and thus calculators practical,1614,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
95,laws of Planetary motion,,1619,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
96,New York founded,,1624,,https://humanhistorytimeline.com/
97,Circulation of blood model,,1628,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
98,Slide-rule (a calculating tool),slide rule,1632,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
99,Steam engine,"first commercial version based on principles of French physicist <a href=""/search/encyclopedia/Denis+Papin"">Denis Papin</a>",1639,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
100,Mechanical Calculator (Pascaline),digital calculator,1642,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
101,Barometer,,1643,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
102,Taj Mahal completed,,1653,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
103,Probability theory,,1654,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
104,Pendulum clock,,1656,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
105,"Saturn, ring around",,1659,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
106,Boyle's law (PV=k),relation between pressure and volume in gases,1662,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
107,Spectrum,heterogeneity of light,1666,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
108,Calculus,,1669,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
109,"Royal Observatory, Greenwich",,1675,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
110,Wave nature of Light,wave theory,1678,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
111,Pressure cooker,early version,1679,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
112,Bacteri,,1683,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
113,Spermatozoa,,1683,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
114,Principia Mathematica published (explains Laws of Motion and Gravitation),published 1687,1687,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
115,laws of Motion,,1687,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
116,Halley's Comet,,1705,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
117,Piano,Hammerklavier,1709,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
118,Kinetic theory of gases,molecules of a gas are in a state of rapid motion,1738,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
119,Lightning rod,,1752,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
120,Conservation of electric charge,the total electric charge of the universe or any closed system is constant,1754,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
121,British rule established in India,,1757,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
122,"Lens, bifocal",,1760,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
123,Boston tea party,,1773,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
124,Oxygen,isolation of,1774,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
125,How combustion works,nature of,1777,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
126,Plant respiration and photosynthesis,,1779,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
127,Uranus,first planet discovered in recorded history,1781,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
128,hot-air balloon,,1783,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
129,Parachute,,1783,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
130,Steamship,,1783,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
131,America gains independance from England,,1783,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
132,Light has a finite velocity,"theory that light has finite velocity) <a href=""/search/encyclopedia/Olaus+R%26%23xF8%3Bmer"">Olaus Roemer</a>, Denmark, 1675.<table border=""0"" class=""graphseg"" width=""180""><tbody><tr><td id=""A0905109""><img alt=""Benjamin Franklin"" class=""b-lazy lazy_load_image"" data-src=""/images/franklin.gif"" height=""212"" id=""A0905110"" src="""" width=""180""/><div class=""caption"">Benjamin Franklin (1706–1790",1790,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
133,Cotton gin,,1793,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
134,Vaccination,,1796,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
135,Paarachute invented,,1797,,https://humanhistorytimeline.com/
136,Chain suspension bridges,"suspension, iron chains",1800,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
137,Battery (Voltaic pile),"forerunner of modern battery, first source of continuous electric current",1800,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
138,Electric lamp,arc lamp,1801,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
139,Metric system,,1801,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
140,Steam Locomotive,steam powered,1804,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
141,Napoleon becomes Emperor ,,1804,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
142,World population reaches 1 billion,,1804,,https://humanhistorytimeline.com/
143,UK abolishes slavery,,1807,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
144,Atomic theory (modern),modern,1808,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
145,Evolution (initial ideas),organic,1809,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
146,Avogadro's law,equal volumes of all gases at the same temperature and pressure contain equal number of molecules,1811,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
147,Napoleon is exiled,,1814,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
148,Bicycle,,1816,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
149,Match,phosphorus,1816,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
150,Stethoscope,,1819,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
151,Truss Bridges,truss,1820,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
152,Motor (electric),,1822,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
153,Electromagnet,,1823,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
154,Cement,,1824,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
155,internal combustion engine,,1824,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
156,Microphone,,1827,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
157,Ohm's law,"relationship between strength of electric current, electromotive force, and circuit resistance",1827,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
158,"Induction, electric",,1828,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
159,Braille,,1829,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
160,Computers (first design),first design of analytical engine,1830,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
161,France colonizes Algeria,,1830,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
162,Lawn mower,,1831,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
163,Electric generator (dynamo),laboratory model,1832,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
164,Reaper,,1834,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
165,"""analytical engine' (Babbage)","“analytical engine” design, included concepts of programming, taping",1835,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
166,Revolver,,1835,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
167,Screw propeller,,1836,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
168,Cells,theory: cells are common structural and functional unit of all living organisms,1839,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
169,Ozone,,1839,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
170,Photovoltaic effect,light falling on certain materials can produce electricity,1839,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
171,Rubber,vulcanization process,1839,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
172,Ice age theory,,1840,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
173,Anesthetic (use on humans),first use of anesthetic—ether—on humans,1842,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
174,Thermodynamics,"first law: energy cannot be created or destroyed, only converted from one form to another",1842,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
175,Tire,,1845,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
176,Neptune,discovery of,1846,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
177,Nitroglycerin,,1846,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
178,Sewing machine,,1846,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
179,Chewing gum (spruce-based),spruce-based,1848,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
180,Absolute zero temperature,"absolute zero temperature, cessation of all molecular energy",1848,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
181,The Communist Manifesto published,,1848,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
182,Bullet,conical,1849,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
183,Safety pin,,1849,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
184,Refrigerator,,1850,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
185,Rotation of Earth,,1851,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
186,Airship (non rigid),non-rigid,1852,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
187,Elevator,safety device permitting use by passengers,1852,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
188,Gyroscope,,1852,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
189,Condensed milk,,1853,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
190,Symbolic logic,,1854,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
191,Plastics,"first material, nitrocellulose softened by vegetable oil, camphor, precursor to Celluloid",1855,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
192,Dye,"aniline, start of synthetic dye industry",1856,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
193,Continental drift theory,geographer who pieced together continents into a single landmass on maps,1858,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
194,On the Origin of Species published (evolution by natural selection),by natural selection,1859,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
195,Oil well,,1859,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
196,Spectrum analysis,,1859,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
197,Fermentation,microorganisms as cause of,1860,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
198,Solar energy,,1860,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
199,Machine gun,hand-cranked multibarrel,1862,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
200,laws of Heredity,,1865,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
201,Assassination of Lincoln,,1865,,https://beckchris.com/history/the-55-most-important-events-in-human-history/
202,Aluminum manufacture (by electrolytic action),by electrolytic action,1866,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
203,Antiseptic,surgery,1867,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
204,Dynamite,,1867,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
205,Typewriter,,1867,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
206,Air brake,,1868,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
207,Helium first observed on sun,,1868,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
208,DNA first isolated,deoxyribonucleic acid,1869,,https://www.factmonster.com/math-science/inventions-discoveries/inventions-and-discoveries
